urban_system_id,city,country_code,country_name,environment_score,environment_pm25_score,environment_pm25_year,environment_green_score,environment_green_year,mobility_score,public_transport_score,public_transport_year,economic_opportunity_score,employment_score,employment_year,unemployment_score,unemployment_year,perceived_safety_score,perceived_safety_year,community_score,community_year,life_satisfaction_score,life_satisfaction_year,housing_satisfaction_score,housing_satisfaction_year,profile_dimensions_available,profile_coverage_pct,explorer_eligible,environment_eligible,mobility_eligible,economic_eligible,extended_profile_eligible,radar_eligible,n_perception_dimensions
DE062,Fulda,DE,Germany,,,,94.86,2021,57.43,57.43,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE063,Kempten (Allgäu),DE,Germany,66.59,44.9,2025,88.28,2021,25.33,25.33,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE064,Landshut,DE,Germany,59.22,53.03,2025,65.41,2021,48.28,48.28,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE066,Rosenheim,DE,Germany,65.27,52.44,2025,78.09,2021,27.45,27.45,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE068,Stralsund,DE,Germany,,,,,,31.43,31.43,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE069,Friedrichshafen,DE,Germany,,,,,,87.0,87.0,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE070,Offenburg,DE,Germany,,,,,,49.34,49.34,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE071,Görlitz,DE,Germany,70.31,59.08,2025,81.54,2021,61.8,61.8,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE074,Schweinfurt,DE,Germany,,37.22,2025,,,40.98,40.98,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE075,Greifswald,DE,Germany,,,,,,48.67,48.67,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE076,Wetzlar,DE,Germany,,,,,,78.78,78.78,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE077,Speyer,DE,Germany,,,,,,41.91,41.91,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE078,Passau,DE,Germany,,,,,,40.98,40.98,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE079,Dessau-Roßlau,DE,Germany,,,,,,65.52,65.52,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE081,Mannheim-Ludwigshafen,DE,Germany,40.0,36.19,2025,43.82,2021,75.73,75.73,2023,62.05,77.68,2021,46.42,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE083,Münster,DE,Germany,69.86,55.69,2025,84.03,2021,63.0,63.0,2023,67.98,69.37,2021,66.6,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE084,Chemnitz,DE,Germany,72.97,54.21,2025,91.73,2021,81.7,81.7,2023,65.74,85.06,2021,46.42,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE085,Braunschweig-Salzgitter,DE,Germany,59.6,32.05,2025,87.16,2021,81.7,81.7,2023,60.7,72.14,2021,49.25,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE086,Aachen,DE,Germany,75.25,66.47,2025,84.03,2021,96.95,96.95,2023,33.02,42.07,2021,23.96,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE087,Krefeld,DE,Germany,60.53,44.17,2025,76.89,2021,65.52,65.52,2023,30.18,50.92,2021,9.43,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE089,Lübeck,DE,Germany,83.48,84.05,2025,82.91,2021,83.29,83.29,2023,56.58,77.68,2021,35.47,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE091,Kassel,DE,Germany,71.09,58.64,2025,83.55,2021,85.68,85.68,2023,57.87,63.1,2021,52.64,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE094,Solingen,DE,Germany,,,,98.23,2021,98.81,98.81,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
DE095,Osnabrück,DE,Germany,65.44,39.14,2025,91.73,2021,75.73,75.73,2023,74.95,87.82,2021,62.08,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE098,Oldenburg (Oldenburg),DE,Germany,79.75,65.44,2025,94.06,2021,61.8,61.8,2023,64.48,71.22,2021,57.74,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE100,Heidelberg,DE,Germany,37.32,29.54,2025,45.1,2021,85.68,85.68,2023,58.74,52.58,2021,64.91,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE101,Paderborn,DE,Germany,74.16,62.19,2025,86.12,2021,60.48,60.48,2023,66.33,74.91,2021,57.74,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE102,Würzburg,DE,Germany,65.76,51.99,2025,79.53,2021,70.82,70.82,2023,90.28,92.25,2021,88.3,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE104,Wolfsburg,DE,Germany,70.32,45.94,2025,94.7,2021,66.84,66.84,2023,71.43,81.73,2021,61.13,2021,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE105,Bremerhaven,DE,Germany,63.26,47.71,2025,78.81,2021,57.43,57.43,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
